text,label
"Government announces a new public education scholarship program for eligible students.",0
"The central bank publishes its latest monetary policy decision on its official website.",0
"Scientists publish a peer reviewed study describing a new method for detecting water pollution.",0
"The city administration announces revised public transport timings for the upcoming month.",0
"Researchers report results from a controlled study in a scientific journal.",0
"The university releases its examination timetable through the official student portal.",0
"Health authorities issue an official advisory asking residents to maintain basic hygiene.",0
"The national weather agency forecasts heavy rainfall for several regions this week.",0
"The company reports its quarterly financial results in an official regulatory filing.",0
"Parliament publishes the text of a newly approved bill on its official website.",0
"Experts confirm that drinking ordinary water instantly gives humans superpowers.",1
"A secret satellite supposedly proves that the moon is made entirely of ice cream.",1
"Scientists allegedly discover a fruit that makes people live forever after one bite.",1
"Government will give every citizen one million dollars tomorrow if they forward this message.",1
"A celebrity claims that switching off your phone for five minutes can cure every disease.",1
"Aliens have secretly taken control of all world governments according to an anonymous post.",1
"Doctors supposedly recommend eating only chocolate for thirty days to permanently lose weight.",1
"An unknown website claims that the sun will disappear for three days next week.",1
"Scientists allegedly admit that gravity is fake and airplanes stay in the sky using magnets.",1
"A viral post says a single household ingredient can make any person completely immune to viruses.",1
"Researchers supposedly create a machine that can predict every lottery number with 100 percent accuracy.",1
"Forward this message to ten people or your bank account will automatically be deleted.",1
"An anonymous source says schools will permanently replace all exams with video games tomorrow.",1
"Internet users claim that putting a smartphone under a pillow doubles its battery overnight.",1
"Scientists allegedly confirm that humans can breathe underwater after drinking a special juice.",1
"Officials announce a new public library opening in the city next month.",0
"The transport department publishes a notice about updated bus routes.",0
"The research team presents its findings at an international academic conference.",0
"Local authorities announce a scheduled maintenance shutdown for the water supply.",0
"The university issues an official notice about the upcoming semester registration.",0
